"last_name, first_name","player_id","year","player_age","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","p_win","p_loss","p_era","p_hit_into_play","xslg","woba","xwoba","xiso","avg_swing_speed","fast_swing_rate","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","groundballs_percent","flyballs_percent","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted"
"Povich, Cade",700249,2025,25,488,439,125,84,20,4,17,118,43,24.2,8.8,".285",".465",".347","0.812","0.180",".351","3","8","5.21","326",".495",".349",".356",".226","72",25.5,"91.2",36.5,11.3,46.9,"80.827575802","95.396274334",24.2,44.9,42.3,26.4,"37.2",,"15.6","21.8","12.3","1.6",,"11.5",,,,"51.1","33.3"
"Beeks, Jalen",656222,2025,31,231,208,42,25,11,0,6,47,20,20.3,8.7,".202",".341",".277","0.618","0.139",".231","5","3","3.77","162",".398",".271",".306",".163","72.5",26.5,"88.5",29,10.5,39.5,"76.33152625","94.389777875",27.7,49.2,46.9,27.8,"52.4",,"37.7",,,"9.9",,,,,,"62.3",
"Darvish, Yu",506433,2025,38,296,269,66,36,15,1,14,68,19,23,6.4,".245",".465",".310","0.775","0.220",".278","5","5","5.38","203",".395",".334",".297",".177","72",26.6,"87.3",32.5,8.9,33,"76.396139307","93.193532836",23,47,40.4,28.6,"16.4","13.8","0.7","16.6","20.1","11.8","10.5","10.1",,,,"48.3","40.6"
"Bummer, Aaron",607481,2025,31,236,204,51,34,12,2,3,51,18,21.6,7.6,".250",".373",".339","0.712","0.123",".314","3","2","3.81","156",".372",".310",".318",".105","71",20.6,"89.7",33.3,3.2,39.1,"79.893937922","94.157028693",22.9,43.1,55.8,16,"12.4",,,"35.1","34.8","0.1",,"17.6",,,,"47.3","52.7"
"Gordon, Colton",676467,2025,26,379,352,103,58,23,1,21,72,19,19,5,".293",".543",".329","0.872","0.250",".312","6","4","5.34","286",".471",".367",".332",".205","72.4",28.6,"89",38.5,11.5,40.6,"77.823700284","94.21274",18,50.5,32.9,28.7,"41",,"7.9","10.2","10.8",,,"30.1",,,,"51.8","40.3"
"Freeland, Kyle",607536,2025,32,709,657,193,132,34,5,22,124,38,17.5,5.4,".294",".461",".335","0.796","0.167",".330","5","17","4.98","541",".473",".341",".342",".191","72.9",32.4,"91.1",36.8,9.4,47.3,"81.013744552","95.077603477",21,51.3,41.6,25.3,"33.4",,"5.9","26.1","6","15.6",,"12.9",,,,"55.1","39"
"Mikolas, Miles",571945,2025,36,669,622,169,94,42,4,29,100,37,14.9,5.5,".272",".492",".313","0.805","0.220",".281","8","11","4.84","529",".513",".342",".351",".241","71.9",24.2,"89.3",34,12.7,41.8,"77.808310802","94.601714237",16.5,48,40.8,30.8,"27.7","23.3","11.5","17.6","17",,,"2.9",,,,"44.7","43.8"
"Cease, Dylan",656302,2025,29,722,636,152,93,37,1,21,215,71,29.8,9.8,".239",".399",".318","0.717","0.160",".323","8","12","4.55","429",".359",".313",".290",".145","71.5",23.3,"88.9",36.6,8.6,37.5,"78.184355258","93.931109718",33.4,49.2,37.3,30.3,"42.1","40.8","1.2","8.3","3.9",,,"3.5",,,,"46.1","52.7"
"Leahy, Kyle",681517,2025,28,363,328,80,59,16,0,5,80,28,22,7.7,".244",".338",".300","0.638","0.094",".301","4","2","3.07","254",".417",".281",".326",".153","71.3",18.3,"89.1",37.4,9.8,44.1,"77.142256905","94.740171833",23.1,49.7,44.5,21.7,"30.2","21","9.6","18","7.5",,,"13.8",,,,"37.7","52.7"
"Ober, Bailey",641927,2025,29,624,579,159,92,37,0,30,120,31,19.2,5,".275",".494",".314","0.808","0.219",".296","6","9","5.10","468",".462",".344",".323",".214","72.1",25.4,"89.6",33.8,10.9,39.1,"78.771571293","94.459521595",24.1,51.7,30.6,34,"35.9","17.7","28.9","3.5","3.2",,,"10.7",,,,"39.1","32"
